Position, Mixture Fraction for C, Mixture Fraction for Bilger
0.005938, 0.009194, 0.013548
0.005952, 0.008875, 0.013155
0.005966, 0.008562, 0.012768
0.005994, 0.007950, 0.012004
0.006023, 0.007365, 0.011265
0.006037, 0.007085, 0.010907
0.006051, 0.006812, 0.010556
0.006065, 0.006545, 0.010211
0.006080, 0.006285, 0.009873
0.006094, 0.006031, 0.009541
0.006108, 0.005784, 0.009215
0.006122, 0.005543, 0.008895
0.006136, 0.005310, 0.008582
0.006151, 0.005082, 0.008276
0.006165, 0.004861, 0.007976
0.006193, 0.004435, 0.007391
0.006222, 0.004035, 0.006833
0.006250, 0.003661, 0.006301
0.006278, 0.003311, 0.005797
0.006307, 0.002986, 0.005320
0.006364, 0.002398, 0.004434
0.006420, 0.001901, 0.003656
0.006477, 0.001488, 0.002983
0.006534, 0.001152, 0.002411
0.006591, 0.000884, 0.001934
0.006705, 0.000503, 0.001207
0.006818, 0.000276, 0.000732
0.006932, 0.000149, 0.000437
0.007045, 0.000081, 0.000263
0.007273, 0.000025, 0.000098
0.007500, 0.000007, 0.000037
0.007727, 0.000002, 0.000015
0.008182, 0.000000, 0.000003
0.008636, 0.000000, 0.000001
0.009091, 0.000000, 0.000000
0.010000, 0.000000, 0.000000
0.010909, 0.000000, 0.000000
0.012727, 0.000000, 0.000000
0.014545, 0.000000, 0.000000
0.016364, 0.000000, 0.000000
0.018182, 0.000000, 0.000000
0.020000, 0.000000, 0.000000
