,Temp,Grid,S_L,Y_IXC8H18,Y_CO,Y_O2,Y_NO,Y_CO2,Y_H2O,HRR,C_P,lambda,time_scale
52,779.7084586,0.009903906,0.317348579,0.031760668,0.009776358,0.177681267,2.99E-07,0.020797408,7.36E-09,3870444.369,1215.396093,0.054787474,0.031208289
53,787.1145386,0.009909375,0.320455965,0.031456258,0.00993199,0.176965588,3.08E-07,0.021213813,8.47E-09,4285559.249,1217.970258,0.055247545,0.030922735
54,794.5826323,0.009914844,0.323592619,0.03114079,0.010089228,0.176244188,3.17E-07,0.021636193,9.73E-09,4713621.372,1220.541462,0.055711182,0.030639895
55,802.1123243,0.009920313,0.326758505,0.030814042,0.010248075,0.175517135,3.27E-07,0.022064591,1.12E-08,5148077.207,1223.107362,0.05617835,0.030359768
56,809.7031929,0.009925781,0.329953606,0.030475797,0.010408534,0.174784495,3.37E-07,0.022499053,1.28E-08,5582802.596,1225.665506,0.056649012,0.030082354
57,817.3548234,0.00993125,0.333177885,0.03012585,0.010570606,0.174046328,3.47E-07,0.022939624,1.46E-08,6011604.267,1228.213331,0.057123133,0.029807651
58,825.0668017,0.009936719,0.33643133,0.029764006,0.010734294,0.173302692,3.57E-07,0.023386349,1.66E-08,6429466.978,1230.748158,0.057600679,0.029535652
59,832.8387262,0.009942188,0.339713907,0.029390081,0.010899599,0.172553638,3.68E-07,0.023839275,1.88E-08,6832036.042,1233.267193,0.058081613,0.029266354
60,840.6702006,0.009947656,0.343025606,0.029003905,0.011066523,0.171799213,3.79E-07,0.024298447,2.13E-08,7217053.223,1235.767522,0.058565902,0.028999748
61,848.5608446,0.009953125,0.346366403,0.028605319,0.011235068,0.171039453,3.90E-07,0.024763912,2.40E-08,7582993.826,1238.24611,0.05905351,0.028735827
62,856.5102842,0.009958594,0.349736293,0.02819418,0.011405233,0.170274392,4.01E-07,0.025235714,2.70E-08,7931667.338,1240.699791,0.059544404,0.028474579
63,864.5181608,0.009964062,0.353135255,0.027770362,0.011577019,0.169504054,4.12E-07,0.025713902,3.04E-08,8265174.393,1243.125267,0.060038549,0.028215995
64,872.5841199,0.009969531,0.35656329,0.027333753,0.011750427,0.168728455,4.24E-07,0.026198521,3.40E-08,8590120.11,1245.519101,0.060535912,0.027960061
65,880.7078171,0.009975,0.360020381,0.02688426,0.011925457,0.167947608,4.35E-07,0.026689618,3.80E-08,8912585.641,1247.877712,0.06103646,0.027706765
66,888.8889059,0.009980469,0.363506528,0.026421809,0.012102106,0.167161515,4.47E-07,0.027187239,4.24E-08,9243478.837,1250.197365,0.061540159,0.027456092
67,897.1270409,0.009985938,0.367021712,0.025946345,0.012280375,0.166370179,4.60E-07,0.027691432,4.71E-08,9592260.437,1252.474168,0.062046975,0.027208029
68,905.4218649,0.009991406,0.370565924,0.025457835,0.012460261,0.165573596,4.72E-07,0.028202243,5.22E-08,9972175.22,1254.704065,0.062556872,0.026962561
69,913.7730106,0.009996875,0.374139136,0.024956272,0.012641763,0.16477176,4.85E-07,0.028719719,5.78E-08,10394528.21,1256.882829,0.063069816,0.026719672
70,922.1800879,0.010002344,0.377741325,0.02444167,0.012824876,0.163964665,4.97E-07,0.029243906,6.39E-08,10872116.1,1259.006058,0.063585767,0.026479347
71,930.6426852,0.010007813,0.381372439,0.023914075,0.013009597,0.163152307,5.10E-07,0.029774852,7.05E-08,11416632.72,1261.069168,0.064104688,0.026241572
72,939.1603581,0.010013281,0.385032433,0.023373561,0.013195921,0.162334683,5.23E-07,0.030312603,7.77E-08,12038435.77,1263.067397,0.064626538,0.026006332
73,947.7326305,0.01001875,0.388721226,0.022820237,0.013383843,0.161511793,5.37E-07,0.030857205,8.56E-08,12749803.97,1264.995796,0.065151272,0.025773612
74,956.3589853,0.010024219,0.392438734,0.022254248,0.013573355,0.160683641,5.50E-07,0.031408705,9.42E-08,13558778.76,1266.849235,0.065678845,0.025543398
75,965.0388645,0.010029687,0.396184836,0.021675785,0.013764447,0.159850233,5.64E-07,0.031967147,1.04E-07,14480306.81,1268.622398,0.066209207,0.025315677
76,973.7716615,0.010035156,0.399959402,0.021085082,0.013957111,0.159011582,5.77E-07,0.032532576,1.14E-07,15521798.9,1270.309794,0.066742308,0.025090437
77,982.5567194,0.010040625,0.403762254,0.020482428,0.014151332,0.158167702,5.91E-07,0.033105036,1.25E-07,16703364.99,1271.905753,0.067278091,0.024867666
