,Temp,Grid,S_L,Y_IXC8H18,Y_CO,Y_O2,Y_NO,Y_CO2,Y_H2O,HRR,C_P,lambda
45,680.1254775118656,0.00978359375,0.5151511197402665,0.0437769636426098,0.010457759512219996,0.18463693099473166,6.117955501626748e-07,0.012808429056577416,9.560801827584288e-09,6516450.179801726,1203.7251149400215,0.04908255982913934
46,692.3284398592363,0.0097890625,0.5246435066633774,0.043403631894009975,0.010795696990586811,0.1834501179714868,6.414006184846107e-07,0.013331184918485405,1.1698581430483285e-08,8002377.487917448,1208.7062501954279,0.04986129143880219
47,704.7604737211612,0.009794531249999999,0.5343278629877338,0.04300134367234497,0.011140886956257277,0.1822415333185943,6.721231633117976e-07,0.013869335813694149,1.4270150310272599e-08,9843718.051105201,1213.7538802532433,0.05065406259190451
48,717.4194594266278,0.0098,0.5442039618828894,0.04256854843747371,0.011493366699035935,0.18101154071695735,7.039779028005437e-07,0.014423102345810951,1.7356678361206772e-08,12091783.048643617,1218.8608215572244,0.051460698453529366
49,730.3030205738368,0.00980546875,0.5542714893501691,0.04210368423514037,0.011853174057059492,0.1797605598770077,7.369774022666377e-07,0.014992707696620063,2.1053527719253077e-08,14707019.262764571,1224.018865651335,0.05228100831410756
50,736.8286887721379,0.009808203125000001,0.5593780128551109,0.0418575521770735,0.012036655859852922,0.17912454328897293,7.539863883153032e-07,0.01528483314682431,2.3182982734579683e-08,16301130.582921633,1226.6147635791515,0.05269632950289807
51,743.4099389365176,0.0098109375,0.5645326882117978,0.04160253680829515,0.012222020940272573,0.17848337823208937,7.712900081209924e-07,0.015581088567680144,2.5509938020068432e-08,17960109.978014834,1229.219604746439,0.05311502081789214
52,750.046392709646,0.009813671874999999,0.5697354601629934,0.041338431069742186,0.012409274617222603,0.17783713520430272,7.888891587226973e-07,0.015881504049799464,2.8051571840597867e-08,19710836.447267365,1231.8320028304618,0.05353705338766203
53,756.7376611841956,0.00981640625,0.5749862610595324,0.04106502918687348,0.012598422226352608,0.17718588654379658,8.067845512845179e-07,0.016186109888777132,3.082636206363039e-08,21541027.55339041,1234.4504967689538,0.05396239766054124
54,763.4833449182245,0.009819140625,0.5802850308309292,0.040782127207135414,0.012789469206522667,0.1765297054120978,8.24976704945075e-07,0.016494936664804734,3.3854151918821754e-08,23429293.563401934,1237.0735498827403,0.05439102340413612
55,770.2830394010673,0.009821875,0.5856316992533478,0.04048952338906375,0.01298242098200821,0.17586866489265435,8.434659349590542e-07,0.016808015141093372,3.715621460681931e-08,25346084.50820676,1239.6995510541983,0.05482290000983023
56,777.1363372061469,0.009824609375000001,0.591026206751064,0.04018701873809866,0.013177283047285474,0.17520283622037436,8.622523467898017e-07,0.017125376341678614,4.075531751414246e-08,27258955.332743563,1242.3268156539864,0.05525799661186932
57,784.0428346660144,0.00982734375,0.5964684870329937,0.039874417430043975,0.013374060821670418,0.1745322875037852,8.813358237371762e-07,0.01744705141355545,4.467578608983451e-08,29131201.57103492,1244.953587665078,0.05569628245449057
58,791.0021348125791,0.009830078124999999,0.6019584881604012,0.03955152734559452,0.013572759738492153,0.17385708171611688,9.007160221763408e-07,0.017773071708509176,4.8943570060232433e-08,30929066.054304548,1247.5780410131617,0.056137727053373165
59,798.0138537199172,0.0098328125,0.6074961549170088,0.039218160535744256,0.013773385080320302,0.17317727551319742,9.203923599209188e-07,0.018103468617820438,5.358631139123567e-08,32620943.2009098,1250.198281231272,0.05658230053714482
60,805.0776227249454,0.009835546875,0.613081449586991,0.03887413376517184,0.013975942081323767,0.17249291755309773,9.403640139430877e-07,0.01843827366834573,5.86334191609547e-08,34185349.164545156,1252.8123456616195,0.057029973766808094
61,812.1930925329043,0.00983828125,0.6187143333464001,0.03851926903986178,0.014180435756431877,0.17180404799654012,9.606299113071095e-07,0.018777518346367664,6.411614999912759e-08,35608445.070430234,1255.4182029793315,0.057480718544950724
62,819.3599333137776,0.009841015625000001,0.624394786284899,0.038153394181681455,0.01438687102662037,0.171110697665514,9.811887310163892e-07,0.019121234221028897,7.006770265756418e-08,36889970.821104184,1258.0137509431443,0.05793450761659803
63,826.5778354128377,0.00984375,0.6301227874174306,0.03777634344691712,0.01459525255253355,0.17041288852804976,1.0020388993468626e-06,0.019469452772354564,7.652332459344609e-08,38037638.06267593,1260.5968129390692,0.058391314683807954
64,833.8465072094069,0.009846484374999999,0.635898333946219,0.03738795816008694,0.014805584883896654,0.16971063372450068,1.0231785970024799e-06,0.01982220554630988,8.352044357490658e-08,39069754.8473559,1263.1651333240634,0.05885111428554533
65,841.1656727852434,0.00984921875,0.6417214199940181,0.03698808745428938,0.015017872297136326,0.16900393878531325,1.0446057599110612e-06,0.020179523989806283,9.109882090776343e-08,40009377.32138892,1265.7163716943169,0.05931388164110403
66,848.5350687614798,0.009851953125,0.6475920554929628,0.03657658899397185,0.015232118958553595,0.1682928020690352,1.0663180919111757e-06,0.020541439627824433,9.930074434219708e-08,40883736.560715675,1268.2480971870948,0.05977959248089816
67,855.9544400201119,0.0098546875,0.6535102439228562,0.03615332986913344,0.01544832875727998,0.16757721620702004,1.0883130711983153e-06,0.02090798389803949,1.0817125443085653e-07,41724552.839805655,1270.7577818657492,0.060248222782760735
68,863.423536788717,0.009857421875000001,0.6594760011493157,0.035718187439351026,0.01566650546871911,0.1668571685083336,1.1105879680776134e-06,0.02127918833569101,1.1775842756811148e-07,42561098.95022724,1273.242795309407,0.06071974862668411
69,870.9421089769529,0.00986015625,0.6654893322463025,0.03527105041545341,0.015886652576059524,0.16613264238067557,1.13313985682724e-06,0.021655084401919215,1.2811370446185458e-07,43433307.06745674,1275.7003978680953,0.06119414585613747
70,878.509904011065,0.009862890624999999,0.6715502503670301,0.03481181985816011,0.016108773425978686,0.16540361762138464,1.1559656377764196e-06,0.022035703667631912,1.3929229302484565e-07,44369741.599783584,1278.1277359969395,0.061671389984457994
71,886.1266597381655,0.009865625,0.677658752624682,0.03434041047783596,0.01633287103753317,0.16467007189380684,1.1790620541020622e-06,0.022421077635837665,1.5135362765516761e-07,45420275.3131644,1280.5218354485414,0.062151455776940166
72,893.7921032556839,0.009868359375,0.6838148390967022,0.03385675181629847,0.01655894824641414,0.1639319810241825,1.2024257171287822e-06,0.02281123792018767,1.6436192155019235e-07,46608172.78609893,1282.8795975035362,0.06263431721962236
