Equivalance Ratio,AFT
0.5,1784.3529192004833
0.55,1893.9129901339456
0.6000000000000001,1993.0043094834468
0.6500000000000001,2085.3387352873283
0.7000000000000002,2170.7529094819356
0.7500000000000002,2248.983820986467
0.8000000000000003,2319.604303302057
0.8500000000000003,2381.9017377086006
0.9000000000000004,2434.7100467115642
0.9500000000000004,2476.3144619916743
1.0000000000000004,2504.811521107301
1.0500000000000005,2519.338670731599
1.1000000000000005,2521.3368701166773
1.1500000000000006,2514.0288835422202
1.2000000000000006,2500.7009748116
1.2500000000000007,2483.753061514519
1.3000000000000007,2464.698709615725
1.3500000000000008,2444.4485908166116
1.4000000000000008,2423.5505113463455
1.4500000000000008,2402.340125831188
1.5000000000000009,2381.028063630896
1.550000000000001,2359.7496502106815
1.600000000000001,2338.5936633430874
1.650000000000001,2317.619348184843
1.700000000000001,2296.8667431681147
1.750000000000001,2276.3631040294295
1.8000000000000012,2256.126994255855
1.8500000000000012,2236.1709457035254
1.9000000000000012,2216.5032232356693
1.9500000000000013,2197.1290163445933
