,phi_l,Temp,NOx,COs
0,0.2,1692.0008572215256,2049.3545417791875,0.1786368852943013
1,0.3,1941.9446118388153,4151.913209826403,3.4242862868417263
2,0.4,2128.7181758903307,5940.27098190523,20.951020731751267
3,0.5,2274.5499955242276,7160.811148125479,73.75270607260512
4,0.6,2390.3549309696714,7771.617627301381,188.90652835680348
5,0.7,2485.99665353648,7829.539768087925,405.18742155184566
6,0.8,2564.6943710264422,7391.526196219181,773.5473551953374
