,phi_f,Temp,NOx,COs
0,1.2,1872.1905685756933,3540.955862721945,1.2333725340916661
1,1.3,1946.0668449991026,4228.169509477488,2.694229771635575
2,1.4,2020.2497725317112,4948.994956100456,5.606963623866323
3,1.5,2091.0706606869867,5629.653817164944,10.858355185715396
4,1.6,2159.671134166598,6263.952366680596,20.01328070892062
5,1.7,2231.0475578977494,6858.196583592657,36.96541427055615
6,1.8,2290.272034274187,7273.558609414359,60.08621644879426
